predicted_at,date,home_team,away_team,stage,best_guess_score,direction,expected_points,most_likely_score,actual_home_score,actual_away_score
2026-06-12,2026-06-11,Mexico,South Africa,group_stage,1-0,home_win,0.973,1-0,2.0,0.0
2026-06-12,2026-06-11,South Korea,Czech Republic,group_stage,1-0,home_win,0.676,1-1,2.0,1.0
2026-06-12,2026-06-12,Canada,Bosnia and Herzegovina,group_stage,2-0,home_win,0.984,2-0,1.0,1.0
2026-06-12,2026-06-12,United States,Paraguay,group_stage,1-0,home_win,0.732,1-1,4.0,1.0
2026-06-12,2026-06-13,Australia,Turkey,group_stage,1-0,home_win,0.627,1-1,2.0,0.0
2026-06-12,2026-06-13,Brazil,Morocco,group_stage,0-0,draw,0.741,0-0,1.0,1.0
2026-06-12,2026-06-13,Haiti,Scotland,group_stage,0-1,away_win,0.78,1-1,0.0,1.0
2026-06-12,2026-06-13,Qatar,Switzerland,group_stage,0-2,away_win,0.909,0-2,1.0,1.0
2026-06-14,2026-06-14,Germany,Curaçao,group_stage,2-0,home_win,1.082,2-0,7.0,1.0
2026-06-14,2026-06-14,Ivory Coast,Ecuador,group_stage,0-1,away_win,0.799,0-0,1.0,0.0
2026-06-14,2026-06-14,Netherlands,Japan,group_stage,1-1,draw,0.57,1-1,2.0,2.0
2026-06-14,2026-06-14,Sweden,Tunisia,group_stage,1-1,draw,0.604,1-1,5.0,1.0
2026-06-15,2026-06-15,Belgium,Egypt,group_stage,1-0,home_win,0.789,1-0,1.0,1.0
2026-06-15,2026-06-15,Iran,New Zealand,group_stage,1-0,home_win,0.921,1-0,2.0,2.0
2026-06-15,2026-06-15,Saudi Arabia,Uruguay,group_stage,0-1,away_win,0.965,0-1,1.0,1.0
2026-06-15,2026-06-15,Spain,Cape Verde,group_stage,2-0,home_win,1.128,2-0,0.0,0.0
2026-06-15,2026-06-16,Argentina,Algeria,group_stage,1-0,home_win,0.94,1-0,3.0,0.0
2026-06-15,2026-06-16,Austria,Jordan,group_stage,1-0,home_win,0.664,1-1,3.0,1.0
2026-06-15,2026-06-16,France,Senegal,group_stage,1-0,home_win,0.8,1-0,3.0,1.0
2026-06-15,2026-06-16,Iraq,Norway,group_stage,0-1,away_win,0.795,0-1,1.0,4.0
2026-06-17,2026-06-17,England,Croatia,group_stage,1-0,home_win,0.788,1-0,4.0,2.0
2026-06-17,2026-06-17,Ghana,Panama,group_stage,0-1,away_win,0.668,1-1,1.0,0.0
2026-06-17,2026-06-17,Portugal,DR Congo,group_stage,1-0,home_win,0.962,1-0,1.0,1.0
2026-06-17,2026-06-17,Uzbekistan,Colombia,group_stage,0-1,away_win,0.85,0-1,1.0,3.0
2026-06-18,2026-06-18,Canada,Qatar,group_stage,2-0,home_win,0.867,2-0,6.0,0.0
2026-06-18,2026-06-18,Czech Republic,South Africa,group_stage,1-0,home_win,0.606,1-1,1.0,1.0
2026-06-18,2026-06-18,Mexico,South Korea,group_stage,1-0,home_win,0.799,1-0,1.0,0.0
2026-06-18,2026-06-18,Switzerland,Bosnia and Herzegovina,group_stage,1-0,home_win,0.902,1-0,4.0,1.0
2026-06-19,2026-06-19,Brazil,Haiti,group_stage,2-0,home_win,1.127,2-0,3.0,0.0
2026-06-19,2026-06-19,Scotland,Morocco,group_stage,0-1,away_win,0.9,0-1,0.0,1.0
2026-06-19,2026-06-19,Turkey,Paraguay,group_stage,1-0,home_win,0.632,1-1,0.0,1.0
2026-06-19,2026-06-19,United States,Australia,group_stage,1-1,draw,0.589,1-1,2.0,0.0
2026-06-20,2026-06-20,Ecuador,Curaçao,group_stage,2-0,home_win,1.051,2-0,0.0,0.0
2026-06-20,2026-06-20,Germany,Ivory Coast,group_stage,1-0,home_win,0.829,1-0,2.0,1.0
2026-06-20,2026-06-20,Netherlands,Sweden,group_stage,2-1,home_win,0.766,1-1,5.0,1.0
2026-06-20,2026-06-20,Tunisia,Japan,group_stage,0-2,away_win,0.914,0-2,0.0,4.0
2026-06-21,2026-06-21,Belgium,Iran,group_stage,1-0,home_win,0.696,1-1,0.0,0.0
2026-06-21,2026-06-21,New Zealand,Egypt,group_stage,0-1,away_win,0.79,0-1,1.0,3.0
2026-06-21,2026-06-21,Spain,Saudi Arabia,group_stage,2-0,home_win,1.097,2-0,4.0,0.0
2026-06-21,2026-06-21,Uruguay,Cape Verde,group_stage,1-0,home_win,0.922,1-0,2.0,2.0
2026-06-22,2026-06-22,Argentina,Austria,group_stage,1-0,home_win,0.969,1-0,2.0,0.0
2026-06-22,2026-06-22,France,Iraq,group_stage,2-0,home_win,1.074,2-0,3.0,0.0
2026-06-22,2026-06-22,Jordan,Algeria,group_stage,0-1,away_win,0.698,1-1,1.0,2.0
2026-06-22,2026-06-22,Norway,Senegal,group_stage,1-0,home_win,0.608,1-1,3.0,2.0
2026-06-22,2026-06-23,Colombia,DR Congo,group_stage,1-0,home_win,0.926,1-0,1.0,0.0
2026-06-22,2026-06-23,England,Ghana,group_stage,2-0,home_win,1.069,2-0,0.0,0.0
2026-06-22,2026-06-23,Panama,Croatia,group_stage,0-1,away_win,0.76,1-1,0.0,1.0
2026-06-22,2026-06-23,Portugal,Uzbekistan,group_stage,2-0,home_win,0.901,2-0,5.0,0.0
2026-06-24,2026-06-24,Bosnia and Herzegovina,Qatar,group_stage,1-0,home_win,0.59,1-1,3.0,1.0
2026-06-24,2026-06-24,Canada,Switzerland,group_stage,2-1,home_win,0.588,1-1,1.0,2.0
2026-06-24,2026-06-24,Mexico,Czech Republic,group_stage,1-0,home_win,0.931,1-0,3.0,0.0
2026-06-24,2026-06-24,Morocco,Haiti,group_stage,2-0,home_win,1.124,2-0,4.0,2.0
2026-06-24,2026-06-24,Scotland,Brazil,group_stage,0-1,away_win,0.942,0-1,0.0,3.0
2026-06-24,2026-06-24,South Africa,South Korea,group_stage,0-1,away_win,0.721,1-1,1.0,0.0
2026-06-25,2026-06-25,Curaçao,Ivory Coast,group_stage,0-1,away_win,0.944,0-1,0.0,2.0
2026-06-25,2026-06-25,Ecuador,Germany,group_stage,0-1,away_win,0.816,0-1,2.0,1.0
2026-06-25,2026-06-25,Japan,Sweden,group_stage,2-1,home_win,0.837,2-1,1.0,1.0
2026-06-25,2026-06-25,Paraguay,Australia,group_stage,0-1,away_win,0.733,0-0,0.0,0.0
2026-06-25,2026-06-25,Tunisia,Netherlands,group_stage,0-2,away_win,1.028,0-2,1.0,3.0
2026-06-25,2026-06-25,United States,Turkey,group_stage,2-0,home_win,0.765,1-1,2.0,3.0
2026-06-25,2026-06-26,Cape Verde,Saudi Arabia,group_stage,1-0,home_win,0.7,0-0,0.0,0.0
2026-06-25,2026-06-26,Egypt,Iran,group_stage,0-0,draw,0.657,0-0,1.0,1.0
2026-06-25,2026-06-26,New Zealand,Belgium,group_stage,0-2,away_win,0.986,0-2,1.0,5.0
2026-06-25,2026-06-26,Norway,France,group_stage,1-2,away_win,0.754,1-1,1.0,5.0
2026-06-25,2026-06-26,Senegal,Iraq,group_stage,1-0,home_win,0.846,1-0,5.0,0.0
2026-06-25,2026-06-26,Uruguay,Spain,group_stage,0-1,away_win,0.881,0-1,0.0,1.0
2026-06-27,2026-06-27,Algeria,Austria,group_stage,1-1,draw,0.59,1-1,3.0,3.0
2026-06-27,2026-06-27,Colombia,Portugal,group_stage,0-1,away_win,0.593,1-1,0.0,0.0
2026-06-27,2026-06-27,Croatia,Ghana,group_stage,1-0,home_win,0.831,1-0,2.0,1.0
2026-06-27,2026-06-27,DR Congo,Uzbekistan,group_stage,1-0,home_win,0.735,0-0,3.0,1.0
2026-06-27,2026-06-27,Jordan,Argentina,group_stage,0-2,away_win,1.151,0-2,1.0,3.0
2026-06-27,2026-06-27,Panama,England,group_stage,0-2,away_win,1.016,0-2,0.0,2.0
2026-06-28,2026-06-28,South Africa,Canada,round_of_32,0-1,away_win,1.327,0-1,,
2026-06-28,2026-06-29,Brazil,Japan,round_of_32,1-0,home_win,1.245,1-1,,
2026-06-28,2026-06-29,Germany,Paraguay,round_of_32,2-0,home_win,1.66,2-0,,
2026-06-28,2026-06-29,Netherlands,Morocco,round_of_32,1-1,draw,1.062,1-1,,
2026-06-28,2026-06-30,France,Sweden,round_of_32,2-0,home_win,1.767,2-0,,
2026-06-28,2026-06-30,Ivory Coast,Norway,round_of_32,0-1,away_win,1.271,1-1,,
2026-06-28,2026-06-30,Mexico,Ecuador,round_of_32,0-0,draw,1.601,0-0,,
2026-06-28,2026-07-01,Belgium,Senegal,round_of_32,1-0,home_win,1.292,1-1,,
2026-06-28,2026-07-01,England,DR Congo,round_of_32,1-0,home_win,1.817,1-0,,
2026-06-28,2026-07-01,United States,Bosnia and Herzegovina,round_of_32,1-0,home_win,1.626,1-0,,
2026-06-28,2026-07-02,Portugal,Croatia,round_of_32,1-0,home_win,1.381,1-1,,
2026-06-28,2026-07-02,Spain,Austria,round_of_32,2-0,home_win,1.773,2-0,,
2026-06-28,2026-07-02,Switzerland,Algeria,round_of_32,1-0,home_win,1.24,1-1,,
2026-06-28,2026-07-03,Argentina,Cape Verde,round_of_32,2-0,home_win,2.06,2-0,,
2026-06-28,2026-07-03,Australia,Egypt,round_of_32,0-0,draw,1.215,0-0,,
2026-06-28,2026-07-03,Colombia,Ghana,round_of_32,1-0,home_win,1.773,1-0,,
